# power spectrum of pi_k
# redshift z=99.597220
# k              Pk             sigma(k)       sigma(Pk)      count
  1.570796e-02   1.045971e-10   0.000000e+00   4.216131e-11   6
  2.221441e-02   4.755277e-11   0.000000e+00   9.492614e-12   12
  2.720699e-02   2.922918e-11   2.980232e-10   5.948019e-12   8
  3.141593e-02   8.217471e-11   0.000000e+00   8.842595e-12   6
  3.512407e-02   4.968113e-11   5.619580e-10   1.583790e-11   24
  3.847649e-02   6.315629e-11   5.619580e-10   1.064030e-11   24
  4.635387e-02   2.500411e-11   1.217504e-03   4.530499e-12   42
  4.967294e-02   3.028974e-11   0.000000e+00   6.675292e-12   24
  5.209742e-02   2.642496e-11   9.733398e-10   6.550305e-12   24
  5.608040e-02   2.571511e-11   9.621049e-04   2.756207e-12   32
  5.877382e-02   2.231046e-11   0.000000e+00   3.135219e-12   48
  6.283185e-02   2.515093e-11   0.000000e+00   1.105835e-11   6
  6.557030e-02   1.894161e-11   9.291969e-04   1.774792e-12   84
  6.935879e-02   1.987256e-11   8.893614e-04   3.020721e-12   48
  7.254758e-02   1.491738e-11   7.985346e-04   1.517874e-12   72
  7.695299e-02   1.470707e-11   1.123916e-09   2.313415e-12   24
  7.963774e-02   1.011620e-11   7.087081e-04   9.279883e-13   102
  8.367643e-02   1.159815e-11   1.370308e-03   1.175689e-12   104
  8.603606e-02   7.383203e-12   0.000000e+00   1.079401e-12   48
  9.068541e-02   6.429111e-12   9.092824e-04   5.800912e-13   108
  9.343657e-02   8.708356e-12   6.413175e-04   9.087183e-13   78
  9.650974e-02   8.411932e-12   5.553727e-04   7.900970e-13   96
  1.007521e-01   6.423053e-12   7.827476e-04   4.864255e-13   168
  1.046631e-01   6.189976e-12   9.466177e-04   6.461364e-13   120
  1.065366e-01   5.700795e-12   0.000000e+00   8.775801e-13   48
  1.109423e-01   5.505643e-12   9.164765e-04   4.762197e-13   194
  1.147571e-01   4.733282e-12   7.498405e-04   3.770585e-13   192
  1.180701e-01   5.716664e-12   5.224442e-04   4.780954e-13   96
  1.203984e-01   3.811352e-12   4.446482e-04   3.596613e-13   96
  1.233385e-01   3.999979e-12   6.559487e-04   3.252427e-13   174
  1.272878e-01   4.201411e-12   6.453399e-04   2.918346e-13   216
  1.304784e-01   3.358065e-12   6.685951e-04   2.299934e-13   192
  1.345850e-01   3.416823e-12   7.087816e-04   2.363486e-13   204
  1.374813e-01   2.605139e-12   9.706973e-04   1.638846e-13   224
  1.414909e-01   3.331077e-12   5.479655e-04   2.549803e-13   174
  1.446033e-01   2.769816e-12   1.053365e-03   1.581882e-13   288
  1.484650e-01   2.360921e-12   5.185518e-04   1.425720e-13   288
  1.514788e-01   2.084000e-12   1.000184e-03   1.501299e-13   192
  1.554236e-01   2.206788e-12   7.319331e-04   1.320184e-13   252
  1.579196e-01   2.115926e-12   4.361590e-04   1.346789e-13   246
  1.613100e-01   1.859220e-12   8.276231e-04   1.102889e-13   312
  1.643345e-01   1.846251e-12   5.346625e-04   9.626650e-14   248
  1.684860e-01   1.488818e-12   1.131025e-03   7.303020e-14   432
  1.718304e-01   1.804588e-12   9.472090e-04   1.228386e-13   198
  1.751353e-01   1.822815e-12   1.145604e-03   8.383134e-14   456
  1.789950e-01   1.467240e-12   6.685341e-04   8.963501e-14   324
  1.817267e-01   1.405845e-12   7.914724e-04   7.768423e-14   312
  1.851131e-01   1.328128e-12   9.927979e-04   6.842551e-14   408
  1.893262e-01   1.236716e-12   9.168549e-04   6.186776e-14   414
  1.922237e-01   1.067973e-12   7.933788e-04   5.425721e-14   392
  1.951891e-01   1.315830e-12   8.939032e-04   6.624311e-14   408
  1.990919e-01   1.177300e-12   9.488231e-04   5.351267e-14   444
  2.020561e-01   1.122613e-12   7.670392e-04   5.597026e-14   360
  2.058410e-01   1.012833e-12   1.052783e-03   3.853655e-14   678
  2.098438e-01   1.049420e-12   6.748154e-04   6.036621e-14   360
  2.129201e-01   8.987965e-13   1.111301e-03   3.962728e-14   648
  2.158529e-01   8.754681e-13   5.136230e-04   5.712206e-14   288
  2.195886e-01   8.365637e-13   9.568926e-04   3.168317e-14   686
  2.231016e-01   8.303919e-13   7.114303e-04   4.092835e-14   444
  2.262783e-01   7.530006e-13   9.881180e-04   2.951041e-14   696
  2.294381e-01   7.872015e-13   9.387623e-04   3.667851e-14   408
  2.328670e-01   6.713802e-13   9.712657e-04   2.558553e-14   648
  2.364370e-01   7.479874e-13   8.503906e-04   3.244486e-14   582
  2.396199e-01   6.001468e-13   1.064401e-03   2.427957e-14   744
  2.431321e-01   6.809865e-13   1.062590e-03   2.852962e-14   516
  2.463676e-01   6.520993e-13   1.028291e-03   2.709498e-14   728
  2.493547e-01   5.981023e-13   8.519968e-04   2.475308e-14   558
  2.529620e-01   5.086003e-13   8.588943e-04   1.803160e-14   768
  2.568725e-01   5.793753e-13   9.956413e-04   1.836498e-14   960
  2.602888e-01   5.317063e-13   6.965241e-04   2.324521e-14   576
  2.635727e-01   5.543426e-13   1.130592e-03   1.915450e-14   816
  2.671089e-01   4.546643e-13   8.722599e-04   1.604099e-14   666
  2.702138e-01   4.913325e-13   1.022915e-03   1.604486e-14   960
  2.739239e-01   4.610213e-13   1.008817e-03   1.624910e-14   824
  2.775241e-01   4.456835e-13   1.110885e-03   1.432696e-14   936
  2.808394e-01   4.016142e-13   8.261366e-04   1.522334e-14   624
  2.838930e-01   4.260127e-13   9.725641e-04   1.372073e-14   1062
  2.874377e-01   4.167094e-13   1.059457e-03   1.482978e-14   732
  2.905463e-01   3.664047e-13   9.192852e-04   1.143332e-14   1080
  2.942546e-01   3.738122e-13   1.002209e-03   1.267453e-14   936
  2.976082e-01   3.301224e-13   1.082494e-03   1.099245e-14   878
  3.011413e-01   3.230191e-13   1.097016e-03   9.482236e-15   1152
  3.044218e-01   3.156098e-13   8.479143e-04   1.003381e-14   1056
  3.079105e-01   3.316457e-13   1.001477e-03   1.099412e-14   864
  3.110264e-01   3.085530e-13   9.782607e-04   9.532236e-15   1092
  3.147509e-01   3.108765e-13   1.033457e-03   9.216412e-15   1206
  3.182989e-01   2.934473e-13   1.048759e-03   8.310185e-15   1248
  3.215758e-01   2.801576e-13   7.107183e-04   9.744044e-15   864
  3.244931e-01   2.835135e-13   7.379012e-04   8.761002e-15   1152
  3.282964e-01   2.777655e-13   1.098528e-03   7.593064e-15   1382
  3.320084e-01   2.688205e-13   9.790321e-04   7.760349e-15   1188
  3.352589e-01   2.388395e-13   1.037410e-03   6.948922e-15   1248
  3.383281e-01   2.407809e-13   9.840824e-04   7.548355e-15   1152
  3.416961e-01   2.500822e-13   1.080699e-03   6.726758e-15   1320
  3.454323e-01   2.262952e-13   7.162673e-04   6.516009e-15   1206
  3.485323e-01   2.284876e-13   1.040639e-03   5.779226e-15   1560
  3.522149e-01   2.205757e-13   9.687237e-04   5.943401e-15   1280
  3.553656e-01   2.037725e-13   9.753251e-04   5.445866e-15   1308
  3.588126e-01   2.066359e-13   9.788304e-04   5.011289e-15   1512
  3.622462e-01   1.872451e-13   7.986109e-04   5.079483e-15   1350
