# power spectrum of pi_v_k
# redshift z=95.691974
# k              Pk             sigma(k)       sigma(Pk)      count
  1.570796e-02   2.107976e-11   0.000000e+00   8.496877e-12   6
  2.221441e-02   9.453326e-12   0.000000e+00   1.887269e-12   12
  2.720699e-02   5.764146e-12   2.980232e-10   1.179721e-12   8
  3.141593e-02   1.608263e-11   0.000000e+00   1.730481e-12   6
  3.512407e-02   9.667951e-12   5.619580e-10   3.083558e-12   24
  3.847649e-02   1.228497e-11   5.619580e-10   2.079760e-12   24
  4.635387e-02   4.852959e-12   1.217504e-03   8.712979e-13   42
  4.967294e-02   5.949449e-12   0.000000e+00   1.306084e-12   24
  5.209742e-02   5.196173e-12   9.733398e-10   1.291705e-12   24
  5.608040e-02   5.083485e-12   9.621049e-04   5.477916e-13   32
  5.877382e-02   4.432834e-12   0.000000e+00   6.276015e-13   48
  6.283185e-02   5.032825e-12   0.000000e+00   2.212965e-12   6
  6.557030e-02   3.792557e-12   9.291969e-04   3.583911e-13   84
  6.935879e-02   4.016159e-12   8.893614e-04   6.124912e-13   48
  7.254758e-02   2.970157e-12   7.985346e-04   2.991733e-13   72
  7.695299e-02   2.997524e-12   1.123916e-09   4.618791e-13   24
  7.963774e-02   2.019675e-12   7.087081e-04   1.861548e-13   102
  8.367643e-02   2.301153e-12   1.370308e-03   2.359967e-13   104
  8.603606e-02   1.441754e-12   0.000000e+00   2.116670e-13   48
  9.068541e-02   1.260155e-12   9.092824e-04   1.104274e-13   108
  9.343657e-02   1.658301e-12   6.413175e-04   1.771900e-13   78
  9.650974e-02   1.630489e-12   5.553727e-04   1.515629e-13   96
  1.007521e-01   1.206035e-12   7.827476e-04   9.301297e-14   168
  1.046631e-01   1.149884e-12   9.466177e-04   1.170725e-13   120
  1.065366e-01   1.076725e-12   0.000000e+00   1.620051e-13   48
  1.109423e-01   1.042012e-12   9.164765e-04   8.887067e-14   194
  1.147571e-01   8.945521e-13   7.498405e-04   7.299697e-14   192
  1.180701e-01   1.076274e-12   5.224442e-04   8.950976e-14   96
  1.203984e-01   7.199591e-13   4.446482e-04   6.848776e-14   96
  1.233385e-01   7.604629e-13   6.559487e-04   6.216808e-14   174
  1.272878e-01   7.891120e-13   6.453399e-04   5.637881e-14   216
  1.304784e-01   6.205276e-13   6.685951e-04   4.457295e-14   192
  1.345850e-01   6.235607e-13   7.087816e-04   4.223748e-14   204
  1.374813e-01   4.933028e-13   9.706973e-04   3.198330e-14   224
  1.414909e-01   6.226861e-13   5.479655e-04   4.900772e-14   174
  1.446033e-01   5.166017e-13   1.053365e-03   2.895828e-14   288
  1.484650e-01   4.293799e-13   5.185518e-04   2.629330e-14   288
  1.514788e-01   3.742745e-13   1.000184e-03   2.692672e-14   192
  1.554236e-01   3.926885e-13   7.319331e-04   2.296694e-14   252
  1.579196e-01   3.813225e-13   4.361590e-04   2.434771e-14   246
  1.613100e-01   3.232104e-13   8.276231e-04   1.940409e-14   312
  1.643345e-01   3.309786e-13   5.346625e-04   1.731568e-14   248
  1.684860e-01   2.588759e-13   1.131025e-03   1.271025e-14   432
  1.718304e-01   3.188379e-13   9.472090e-04   2.265017e-14   198
  1.751353e-01   3.050939e-13   1.145604e-03   1.381843e-14   456
  1.789950e-01   2.504435e-13   6.685341e-04   1.560800e-14   324
  1.817267e-01   2.429570e-13   7.914724e-04   1.338096e-14   312
  1.851131e-01   2.182501e-13   9.927979e-04   1.149143e-14   408
  1.893262e-01   2.141817e-13   9.168549e-04   1.111390e-14   414
  1.922237e-01   1.765584e-13   7.933788e-04   8.770614e-15   392
  1.951891e-01   2.280649e-13   8.939032e-04   1.120527e-14   408
  1.990919e-01   2.000893e-13   9.488231e-04   9.493300e-15   444
  2.020561e-01   1.894693e-13   7.670392e-04   8.762975e-15   360
  2.058410e-01   1.657384e-13   1.052783e-03   6.172040e-15   678
  2.098438e-01   1.708079e-13   6.748154e-04   9.182508e-15   360
  2.129201e-01   1.464026e-13   1.111301e-03   6.449839e-15   648
  2.158529e-01   1.411676e-13   5.136230e-04   8.668535e-15   288
  2.195886e-01   1.274410e-13   9.568926e-04   4.934517e-15   686
  2.231016e-01   1.227444e-13   7.114303e-04   5.893495e-15   444
  2.262783e-01   1.184877e-13   9.881180e-04   4.559556e-15   696
  2.294381e-01   1.163180e-13   9.387623e-04   5.346513e-15   408
  2.328670e-01   1.055914e-13   9.712657e-04   4.125113e-15   648
  2.364370e-01   1.134838e-13   8.503906e-04   4.931333e-15   582
  2.396199e-01   9.048907e-14   1.064401e-03   3.584619e-15   744
  2.431321e-01   1.025117e-13   1.062590e-03   4.046991e-15   516
  2.463676e-01   9.678593e-14   1.028291e-03   3.817740e-15   728
  2.493547e-01   8.749627e-14   8.519968e-04   3.820793e-15   558
  2.529620e-01   7.426697e-14   8.588943e-04   2.668698e-15   768
  2.568725e-01   8.279755e-14   9.956413e-04   2.712221e-15   960
  2.602888e-01   7.666289e-14   6.965241e-04   3.458677e-15   576
  2.635727e-01   7.921203e-14   1.130592e-03   2.685354e-15   816
  2.671089e-01   6.177581e-14   8.722599e-04   2.176308e-15   666
  2.702138e-01   6.578930e-14   1.022915e-03   2.155368e-15   960
  2.739239e-01   6.185216e-14   1.008817e-03   2.458172e-15   824
  2.775241e-01   5.895561e-14   1.110885e-03   1.880231e-15   936
  2.808394e-01   5.475252e-14   8.261366e-04   2.270791e-15   624
  2.838930e-01   5.525012e-14   9.725641e-04   1.832507e-15   1062
  2.874377e-01   5.167396e-14   1.059457e-03   1.796672e-15   732
  2.905463e-01   4.574137e-14   9.192852e-04   1.406262e-15   1080
  2.942546e-01   4.694814e-14   1.002209e-03   1.635027e-15   936
  2.976082e-01   4.404829e-14   1.082494e-03   1.433349e-15   878
  3.011413e-01   4.053870e-14   1.097016e-03   1.230585e-15   1152
  3.044218e-01   3.914557e-14   8.479143e-04   1.243065e-15   1056
  3.079105e-01   3.828751e-14   1.001477e-03   1.277738e-15   864
  3.110264e-01   3.950872e-14   9.782607e-04   1.226485e-15   1092
  3.147509e-01   3.690609e-14   1.033457e-03   1.124423e-15   1206
  3.182989e-01   3.624189e-14   1.048759e-03   1.080626e-15   1248
  3.215758e-01   3.523416e-14   7.107183e-04   1.221794e-15   864
  3.244931e-01   3.257481e-14   7.379012e-04   9.922872e-16   1152
  3.282964e-01   3.186731e-14   1.098528e-03   9.169295e-16   1382
  3.320084e-01   2.921221e-14   9.790321e-04   8.336793e-16   1188
  3.352589e-01   2.702167e-14   1.037410e-03   7.982148e-16   1248
  3.383281e-01   2.695616e-14   9.840824e-04   8.395819e-16   1152
  3.416961e-01   2.950506e-14   1.080699e-03   7.994297e-16   1320
  3.454323e-01   2.439070e-14   7.162673e-04   7.259654e-16   1206
  3.485323e-01   2.575294e-14   1.040639e-03   7.096619e-16   1560
  3.522149e-01   2.238538e-14   9.687237e-04   6.413837e-16   1280
  3.553656e-01   2.142419e-14   9.753251e-04   5.981509e-16   1308
  3.588126e-01   2.109099e-14   9.788304e-04   5.141568e-16   1512
  3.622462e-01   1.996444e-14   7.986109e-04   5.463309e-16   1350
  3.657845e-01   1.979857e-14   1.055155e-03   5.330550e-16   1608
  3.688093e-01   1.910832e-14   9.074168e-04   5.309388e-16   1320
  3.723318e-01   1.784816e-14   1.093091e-03   4.263405e-16   1656
  3.755028e-01   1.648264e-14   8.593531e-04   4.607545e-16   1254
