# power spectrum of pi_k
# redshift z=48.322258
# k              Pk             sigma(k)       sigma(Pk)      count
  7.853982e-03   1.574643e-10   0.000000e+00   6.347160e-11   6
  1.110721e-02   8.692425e-11   0.000000e+00   1.735192e-11   12
  1.360350e-02   6.209605e-11   1.490116e-10   1.263866e-11   8
  1.570796e-02   1.971923e-10   0.000000e+00   2.121884e-11   6
  1.756204e-02   1.313406e-10   2.809790e-10   4.186997e-11   24
  1.923825e-02   1.802327e-10   2.809790e-10   3.036786e-11   24
  2.221441e-02   7.451895e-11   0.000000e+00   3.353942e-11   12
  2.356194e-02   8.356344e-11   3.178914e-10   1.538698e-11   30
  2.483647e-02   1.011575e-10   0.000000e+00   2.229204e-11   24
  2.604871e-02   8.939957e-11   4.866699e-10   2.216231e-11   24
  2.720699e-02   1.012144e-10   2.980232e-10   2.051399e-11   8
  2.831793e-02   8.329648e-11   3.973643e-10   1.035063e-11   24
  2.938691e-02   7.622256e-11   0.000000e+00   1.071239e-11   48
  3.141593e-02   8.574312e-11   0.000000e+00   3.770040e-11   6
  3.238280e-02   6.696288e-11   3.973643e-10   9.401739e-12   48
  3.332162e-02   6.072146e-11   3.746387e-10   6.317330e-12   36
  3.423471e-02   8.541890e-11   3.973643e-10   1.786436e-11   24
  3.512407e-02   4.914576e-11   5.619580e-10   8.457634e-12   24
  3.599147e-02   4.315549e-11   0.000000e+00   5.867209e-12   48
  3.683844e-02   6.568012e-11   5.619580e-10   9.349094e-12   24
  3.847649e-02   5.062220e-11   5.619580e-10   7.961213e-12   24
  3.926991e-02   3.405505e-11   0.000000e+00   5.574574e-12   30
  4.004761e-02   3.586309e-11   0.000000e+00   3.958899e-12   72
  4.081049e-02   3.454161e-11   5.960464e-10   7.035668e-12   32
  4.229499e-02   4.495109e-11   0.000000e+00   5.211797e-12   72
  4.301803e-02   2.711160e-11   0.000000e+00   3.964058e-12   48
  4.442883e-02   1.412721e-11   0.000000e+00   4.201990e-12   12
  4.545694e-02   2.599339e-11   3.392498e-04   2.409006e-12   96
  4.646478e-02   3.199413e-11   5.619580e-10   4.037112e-12   48
  4.712389e-02   3.819622e-11   6.357829e-10   6.694212e-12   30
  4.825487e-02   3.430552e-11   2.776864e-04   3.221809e-12   96
  4.967294e-02   2.018668e-11   0.000000e+00   3.832318e-12   24
  5.049322e-02   2.833069e-11   2.873674e-04   2.296905e-12   144
  5.150200e-02   1.959562e-11   9.733398e-10   4.811838e-12   24
