# power spectrum of pi_v_k
# redshift z=9.951253
# k              Pk             sigma(k)       sigma(Pk)      count
  7.853982e-03   3.690039e-11   0.000000e+00   1.487607e-11   6
  1.110721e-02   2.036812e-11   0.000000e+00   4.064332e-12   12
  1.360350e-02   1.447713e-11   1.490116e-10   2.956148e-12   8
  1.570796e-02   4.629817e-11   0.000000e+00   4.976394e-12   6
  1.756204e-02   3.071005e-11   2.809790e-10   9.786312e-12   24
  1.923825e-02   4.197045e-11   2.809790e-10   7.091765e-12   24
  2.221441e-02   1.728966e-11   0.000000e+00   7.765192e-12   12
  2.356194e-02   1.931233e-11   3.178914e-10   3.529243e-12   30
  2.483647e-02   2.362355e-11   0.000000e+00   5.198992e-12   24
  2.604871e-02   2.069031e-11   4.866699e-10   5.142265e-12   24
  2.720699e-02   2.324470e-11   2.980232e-10   4.698959e-12   8
  2.831793e-02   1.922204e-11   3.973643e-10   2.405904e-12   24
  2.938691e-02   1.753040e-11   0.000000e+00   2.470887e-12   48
  3.141593e-02   1.996680e-11   0.000000e+00   8.788840e-12   6
  3.238280e-02   1.541072e-11   3.973643e-10   2.167000e-12   48
  3.332162e-02   1.403627e-11   3.746387e-10   1.468061e-12   36
  3.423471e-02   1.952291e-11   3.973643e-10   4.102155e-12   24
  3.512407e-02   1.131877e-11   5.619580e-10   1.924908e-12   24
  3.599147e-02   9.906441e-12   0.000000e+00   1.337829e-12   48
  3.683844e-02   1.473590e-11   5.619580e-10   2.096535e-12   24
  3.847649e-02   1.159463e-11   5.619580e-10   1.814420e-12   24
  3.926991e-02   7.699287e-12   0.000000e+00   1.266132e-12   30
  4.004761e-02   8.211991e-12   0.000000e+00   9.008862e-13   72
  4.081049e-02   7.986521e-12   5.960464e-10   1.636447e-12   32
  4.229499e-02   1.016360e-11   0.000000e+00   1.176910e-12   72
  4.301803e-02   6.222924e-12   0.000000e+00   9.128048e-13   48
  4.442883e-02   3.171007e-12   0.000000e+00   9.391810e-13   12
