# power spectrum of pi_v_k
# redshift z=96.079122
# k              Pk             sigma(k)       sigma(Pk)      count
  7.853982e-03   3.389545e-11   0.000000e+00   1.366271e-11   6
  1.110721e-02   1.813425e-11   0.000000e+00   3.620007e-12   12
  1.360350e-02   1.298445e-11   1.490116e-10   2.642325e-12   8
  1.570796e-02   4.116658e-11   0.000000e+00   4.429822e-12   6
  1.756204e-02   2.731246e-11   2.809790e-10   8.706958e-12   24
  1.923825e-02   3.736564e-11   2.809790e-10   6.295227e-12   24
  2.221441e-02   1.539555e-11   0.000000e+00   6.929494e-12   12
  2.356194e-02   1.723267e-11   3.178914e-10   3.174287e-12   30
  2.483647e-02   2.079782e-11   0.000000e+00   4.583435e-12   24
  2.604871e-02   1.834546e-11   4.866699e-10   4.547535e-12   24
  2.720699e-02   2.074350e-11   2.980232e-10   4.204755e-12   8
  2.831793e-02   1.703336e-11   3.973643e-10   2.116141e-12   24
  2.938691e-02   1.556878e-11   0.000000e+00   2.187836e-12   48
  3.141593e-02   1.744463e-11   0.000000e+00   7.670054e-12   6
  3.238280e-02   1.362381e-11   3.973643e-10   1.912905e-12   48
  3.332162e-02   1.233744e-11   3.746387e-10   1.283176e-12   36
  3.423471e-02   1.735585e-11   3.973643e-10   3.629257e-12   24
  3.512407e-02   9.969664e-12   5.619580e-10   1.716308e-12   24
  3.599147e-02   8.750718e-12   0.000000e+00   1.189980e-12   48
  3.683844e-02   1.333000e-11   5.619580e-10   1.897403e-12   24
  3.847649e-02   1.025573e-11   5.619580e-10   1.613215e-12   24
  3.926991e-02   6.900235e-12   0.000000e+00   1.129418e-12   30
  4.004761e-02   7.261570e-12   0.000000e+00   8.019239e-13   72
  4.081049e-02   6.987822e-12   5.960464e-10   1.422763e-12   32
  4.229499e-02   9.114310e-12   0.000000e+00   1.057023e-12   72
  4.301803e-02   5.492605e-12   0.000000e+00   8.030029e-13   48
  4.442883e-02   2.870005e-12   0.000000e+00   8.537084e-13   12
  4.545694e-02   5.285336e-12   3.392498e-04   4.898583e-13   96
  4.646478e-02   6.513848e-12   5.619580e-10   8.217059e-13   48
  4.712389e-02   7.784682e-12   6.357829e-10   1.364560e-12   30
  4.825487e-02   6.991844e-12   2.776864e-04   6.560481e-13   96
  4.967294e-02   4.123616e-12   0.000000e+00   7.827503e-13   24
  5.049322e-02   5.806842e-12   2.873674e-04   4.709474e-13   144
  5.150200e-02   4.026827e-12   9.733398e-10   9.891372e-13   24
  5.253894e-02   5.936544e-12   2.549103e-04   6.771965e-13   96
  5.326830e-02   5.178959e-12   0.000000e+00   7.972476e-13   48
  5.490511e-02   6.301863e-12   1.890362e-04   7.101594e-13   62
  5.573699e-02   4.578301e-12   2.658311e-04   5.537068e-13   132
  5.663587e-02   3.005993e-12   7.947286e-10   5.362341e-13   24
  5.748465e-02   4.700710e-12   2.656931e-04   3.991398e-13   168
  5.903504e-02   5.475961e-12   2.612221e-04   4.573979e-13   96
  6.019922e-02   3.680439e-12   2.223241e-04   3.473654e-13   96
  6.162770e-02   3.848978e-12   2.478098e-04   3.173211e-13   168
  6.283185e-02   5.181107e-12   0.000000e+00   2.277003e-12   6
  6.332082e-02   4.251170e-12   0.000000e+00   4.116952e-13   96
  6.390236e-02   4.058335e-12   1.926248e-04   3.998970e-13   120
  6.508191e-02   3.223359e-12   2.236718e-04   2.550991e-13   144
  6.571112e-02   3.746087e-12   0.000000e+00   5.046298e-13   48
  6.690679e-02   3.285246e-12   2.282370e-04   3.547947e-13   84
  6.756250e-02   3.615793e-12   1.557344e-09   3.245367e-13   120
  6.815306e-02   2.795548e-12   2.071087e-04   3.208346e-13   80
  6.906710e-02   2.637168e-12   2.102834e-04   1.934811e-13   144
  7.024815e-02   3.274098e-12   1.123916e-09   6.073243e-13   24
  7.082503e-02   3.577553e-12   2.029143e-04   2.985170e-13   150
  7.172508e-02   3.195285e-12   2.105350e-04   2.331667e-13   120
  7.271349e-02   2.861302e-12   1.918583e-04   2.415523e-13   168
  7.367688e-02   4.260329e-12   1.123916e-09   7.131325e-13   24
  7.428300e-02   2.474869e-12   2.066893e-04   1.569278e-13   264
  7.492221e-02   1.936323e-12   1.123916e-09   2.713171e-13   48
  7.601180e-02   2.506386e-12   1.914474e-04   2.070265e-13   144
  7.721950e-02   3.027061e-12   1.884480e-04   3.714817e-13   72
  7.790872e-02   2.366978e-12   1.938424e-04   1.512981e-13   180
  7.887219e-02   2.458966e-12   1.404521e-04   1.838288e-13   198
  7.932133e-02   2.566742e-12   0.000000e+00   2.804207e-13   48
  8.031473e-02   2.042448e-12   1.901059e-04   1.537737e-13   168
  8.105195e-02   2.389823e-12   1.902639e-04   2.181106e-13   144
  8.216723e-02   2.197303e-12   2.673312e-04   1.146243e-13   248
  8.367327e-02   1.529101e-12   1.843033e-04   1.074562e-13   192
  8.469881e-02   1.961268e-12   2.846833e-04   1.290520e-13   240
  8.531608e-02   2.107544e-12   0.000000e+00   2.284291e-13   72
  8.625752e-02   2.145955e-12   1.737259e-04   1.869476e-13   126
  8.685144e-02   2.253962e-12   1.602857e-04   1.781734e-13   168
  8.798545e-02   2.060776e-12   1.752705e-04   1.151911e-13   288
  8.917744e-02   1.839280e-12   9.231163e-05   1.564678e-13   156
  8.979471e-02   1.550948e-12   1.552950e-04   1.353147e-13   168
  9.073079e-02   1.615990e-12   2.662258e-04   9.876582e-14   264
  9.159238e-02   1.499718e-12   0.000000e+00   1.850536e-13   48
  9.223262e-02   1.487711e-12   2.649592e-04   9.744204e-14   264
  9.315043e-02   1.488127e-12   1.561767e-04   1.234391e-13   144
  9.384360e-02   1.635711e-12   3.195296e-04   1.867067e-13   78
  9.485335e-02   1.300227e-12   2.077074e-04   7.159348e-14   336
  9.580557e-02   1.188027e-12   1.580315e-04   8.056687e-14   200
  9.643092e-02   1.146436e-12   3.094279e-04   8.734977e-14   192
  9.727517e-02   1.403628e-12   1.552787e-04   9.989966e-14   240
  9.805078e-02   1.467658e-12   3.111877e-04   1.009545e-13   168
  9.884759e-02   1.196041e-12   2.491457e-04   1.027550e-13   120
  9.980457e-02   1.306554e-12   1.947292e-04   6.971113e-14   324
  1.007331e-01   1.158030e-12   1.530902e-04   7.909880e-14   192
  1.013651e-01   1.290371e-12   2.745589e-04   9.351827e-14   168
  1.024401e-01   9.451896e-13   2.261345e-04   5.216182e-14   342
  1.034094e-01   1.282128e-12   1.820838e-04   6.564545e-14   336
  1.043919e-01   1.400068e-12   1.393419e-04   1.557668e-13   72
  1.050544e-01   1.110053e-12   2.228587e-04   7.396154e-14   288
  1.058235e-01   1.094374e-12   1.451409e-04   7.937085e-14   264
  1.068977e-01   9.587738e-13   1.908961e-04   5.179309e-14   384
  1.078598e-01   9.934560e-13   2.291250e-04   7.423500e-14   240
  1.082597e-01   1.048401e-12   0.000000e+00   1.281188e-13   48
  1.094162e-01   1.015993e-12   1.875538e-04   5.122225e-14   392
  1.102985e-01   9.265444e-13   2.058309e-04   5.263557e-14   294
  1.112472e-01   9.109365e-13   1.337793e-04   6.754920e-14   228
  1.118712e-01   1.074512e-12   2.031635e-04   7.023008e-14   216
  1.126476e-01   8.872127e-13   1.237531e-04   4.684097e-14   336
  1.135979e-01   9.377708e-13   1.470390e-04   5.366627e-14   360
  1.143824e-01   1.010500e-12   2.240245e-04   6.237402e-14   240
  1.151999e-01   9.134176e-13   2.650723e-04   6.390388e-14   168
  1.159625e-01   8.462977e-13   2.086441e-04   4.813939e-14   312
  1.168709e-01   8.344072e-13   1.305768e-04   4.248979e-14   336
  1.178523e-01   8.973712e-13   1.781309e-04   5.448209e-14   294
  1.185923e-01   1.004079e-12   2.374121e-04   6.186077e-14   288
  1.191585e-01   7.020201e-13   1.485567e-04   4.590115e-14   264
  1.201682e-01   8.098313e-13   2.551823e-04   4.112720e-14   480
  1.210124e-01   8.953886e-13   1.248343e-04   5.353197e-14   240
  1.220474e-01   8.760762e-13   1.262294e-04   5.132670e-14   276
  1.228640e-01   8.180243e-13   2.770985e-04   3.427910e-14   488
  1.238341e-01   9.277670e-13   1.220401e-04   8.193004e-14   240
  1.243972e-01   8.378089e-13   2.369704e-04   4.151034e-14   360
  1.251868e-01   7.021995e-13   8.431050e-05   5.217504e-14   198
  1.262022e-01   6.784198e-13   2.848886e-04   2.952308e-14   480
  1.269457e-01   6.761559e-13   1.051538e-04   4.098060e-14   288
  1.279739e-01   7.730170e-13   2.222711e-04   3.661108e-14   480
  1.288986e-01   7.844925e-13   1.369471e-04   3.315720e-14   480
  1.298482e-01   6.800533e-13   1.771183e-04   4.559621e-14   288
  1.304406e-01   7.612978e-13   1.889527e-04   4.329962e-14   288
  1.313724e-01   7.232363e-13   3.284945e-04   3.493609e-14   456
  1.323107e-01   7.980501e-13   3.093653e-04   3.932335e-14   360
