# power spectrum of phi
# redshift z=9.995116
# k              Pk             sigma(k)       sigma(Pk)      count
  7.853982e-03   3.406201e-10   0.000000e+00   1.373112e-10   6
  1.110721e-02   1.880870e-10   0.000000e+00   3.753528e-11   12
  1.360350e-02   1.338941e-10   1.490116e-10   2.731575e-11   8
  1.570796e-02   4.274158e-10   0.000000e+00   4.595356e-11   6
  1.756204e-02   2.838627e-10   2.809790e-10   9.046740e-11   24
  1.923825e-02   3.884245e-10   2.809790e-10   6.558380e-11   24
  2.221441e-02   1.601945e-10   0.000000e+00   7.198739e-11   12
  2.356194e-02   1.791363e-10   3.178914e-10   3.280259e-11   30
  2.483647e-02   2.185124e-10   0.000000e+00   4.810662e-11   24
  2.604871e-02   1.918576e-10   4.866699e-10   4.765233e-11   24
  2.720699e-02   2.160515e-10   2.980232e-10   4.370517e-11   8
  2.831793e-02   1.784247e-10   3.973643e-10   2.229083e-11   24
  2.938691e-02   1.628907e-10   0.000000e+00   2.294226e-11   48
  3.141593e-02   1.848864e-10   0.000000e+00   8.135913e-11   6
  3.238280e-02   1.431938e-10   3.973643e-10   2.012866e-11   48
  3.332162e-02   1.302757e-10   3.746387e-10   1.360521e-11   36
  3.423471e-02   1.818064e-10   3.973643e-10   3.815462e-11   24
  3.512407e-02   1.051781e-10   5.619580e-10   1.794126e-11   24
  3.599147e-02   9.215077e-11   0.000000e+00   1.246628e-11   48
  3.683844e-02   1.379527e-10   5.619580e-10   1.962909e-11   24
  3.847649e-02   1.079734e-10   5.619580e-10   1.691843e-11   24
  3.926991e-02   7.194238e-11   0.000000e+00   1.181681e-11   30
  4.004761e-02   7.648279e-11   0.000000e+00   8.404908e-12   72
  4.081049e-02   7.417682e-11   5.960464e-10   1.517496e-11   32
  4.229499e-02   9.502475e-11   0.000000e+00   1.100849e-11   72
  4.301803e-02   5.793795e-11   0.000000e+00   8.491518e-12   48
  4.442883e-02   2.971134e-11   0.000000e+00   8.809309e-12   12
  4.545694e-02   5.484865e-11   3.392498e-04   5.061342e-12   96
  4.646478e-02   6.725244e-11   5.619580e-10   8.525043e-12   48
  4.712389e-02   8.046345e-11   6.357829e-10   1.407309e-11   30
  4.825487e-02   7.356933e-11   2.776864e-04   6.949052e-12   96
  4.967294e-02   4.295178e-11   0.000000e+00   8.180625e-12   24
  5.049322e-02   5.942464e-11   2.873674e-04   4.803093e-12   144
  5.150200e-02   4.098969e-11   9.733398e-10   1.000541e-11   24
  5.253894e-02   6.039647e-11   2.549103e-04   6.845927e-12   96
  5.326830e-02   5.336955e-11   0.000000e+00   8.209096e-12   48
  5.490511e-02   6.434514e-11   1.890362e-04   7.322334e-12   62
  5.573699e-02   4.640099e-11   2.658311e-04   5.517787e-12   132
  5.663587e-02   3.060892e-11   7.947286e-10   5.419304e-12   24
  5.748465e-02   4.775578e-11   2.656931e-04   4.055553e-12   168
  5.903504e-02   5.465389e-11   2.612221e-04   4.563040e-12   96
  6.019922e-02   3.704813e-11   2.223241e-04   3.518915e-12   96
  6.162770e-02   3.823428e-11   2.478098e-04   3.148749e-12   168
  6.283185e-02   5.460764e-11   0.000000e+00   2.385231e-11   6
  6.332082e-02   4.249941e-11   0.000000e+00   4.182827e-12   96
  6.390236e-02   4.053362e-11   1.926248e-04   4.007222e-12   120
  6.508191e-02   3.221759e-11   2.236718e-04   2.530253e-12   144
  6.571112e-02   3.598911e-11   0.000000e+00   4.911610e-12   48
  6.690679e-02   3.249704e-11   2.282370e-04   3.443237e-12   84
  6.756250e-02   3.567854e-11   1.557344e-09   3.185575e-12   120
  6.815306e-02   2.737036e-11   2.071087e-04   3.156834e-12   80
  6.906710e-02   2.568914e-11   2.102834e-04   1.876144e-12   144
  7.024815e-02   3.311492e-11   1.123916e-09   6.146612e-12   24
  7.082503e-02   3.547993e-11   2.029143e-04   2.983111e-12   150
  7.172508e-02   3.148197e-11   2.105350e-04   2.293836e-12   120
  7.271349e-02   2.863146e-11   1.918583e-04   2.441600e-12   168
  7.367688e-02   3.975702e-11   1.123916e-09   6.548223e-12   24
  7.428300e-02   2.404322e-11   2.066893e-04   1.535220e-12   264
