# power spectrum of pi_k
# redshift z=9.995116
# k              Pk             sigma(k)       sigma(Pk)      count
  7.853982e-03   1.350245e-10   0.000000e+00   5.442872e-11   6
  1.110721e-02   7.460195e-11   0.000000e+00   1.489060e-11   12
  1.360350e-02   5.319206e-11   1.490116e-10   1.083693e-11   8
  1.570796e-02   1.693554e-10   0.000000e+00   1.821776e-11   6
  1.756204e-02   1.125993e-10   2.809790e-10   3.589171e-11   24
  1.923825e-02   1.542421e-10   2.809790e-10   2.600984e-11   24
  2.221441e-02   6.366598e-11   0.000000e+00   2.863781e-11   12
  2.356194e-02   7.128196e-11   3.178914e-10   1.309360e-11   30
  2.483647e-02   8.664146e-11   0.000000e+00   1.908590e-11   24
  2.604871e-02   7.631941e-11   4.866699e-10   1.893339e-11   24
  2.720699e-02   8.605976e-11   2.980232e-10   1.742979e-11   8
  2.831793e-02   7.098624e-11   3.973643e-10   8.838876e-12   24
  2.938691e-02   6.485329e-11   0.000000e+00   9.122162e-12   48
  3.141593e-02   7.340596e-11   0.000000e+00   3.228587e-11   6
  3.238280e-02   5.700100e-11   3.973643e-10   8.003615e-12   48
  3.332162e-02   5.176978e-11   3.746387e-10   5.396409e-12   36
  3.423471e-02   7.244734e-11   3.973643e-10   1.517147e-11   24
  3.512407e-02   4.184045e-11   5.619580e-10   7.176058e-12   24
  3.599147e-02   3.668504e-11   0.000000e+00   4.978124e-12   48
  3.683844e-02   5.534580e-11   5.619580e-10   7.876955e-12   24
  3.847649e-02   4.294590e-11   5.619580e-10   6.744483e-12   24
  3.926991e-02   2.879314e-11   0.000000e+00   4.718654e-12   30
  4.004761e-02   3.044467e-11   0.000000e+00   3.352461e-12   72
  4.081049e-02   2.946925e-11   5.960464e-10   6.015862e-12   32
  4.229499e-02   3.796989e-11   0.000000e+00   4.397580e-12   72
  4.301803e-02   2.305832e-11   0.000000e+00   3.374542e-12   48
  4.442883e-02   1.190691e-11   0.000000e+00   3.537199e-12   12
  4.545694e-02   2.193537e-11   3.392498e-04   2.029646e-12   96
  4.646478e-02   2.698423e-11   5.619580e-10   3.410855e-12   48
  4.712389e-02   3.221169e-11   6.357829e-10   5.639605e-12   30
  4.825487e-02   2.922573e-11   2.776864e-04   2.755913e-12   96
  4.967294e-02   1.716969e-11   0.000000e+00   3.263472e-12   24
  5.049322e-02   2.385130e-11   2.873674e-04   1.929258e-12   144
  5.150200e-02   1.644572e-11   9.733398e-10   4.029446e-12   24
  5.253894e-02   2.426976e-11   2.549103e-04   2.760053e-12   96
  5.326830e-02   2.131875e-11   0.000000e+00   3.280688e-12   48
  5.490511e-02   2.577765e-11   1.890362e-04   2.923415e-12   62
  5.573699e-02   1.862729e-11   2.658311e-04   2.232247e-12   132
  5.663587e-02   1.224318e-11   7.947286e-10   2.177236e-12   24
  5.748465e-02   1.913522e-11   2.656931e-04   1.622718e-12   168
  5.903504e-02   2.202895e-11   2.612221e-04   1.838762e-12   96
  6.019922e-02   1.488595e-11   2.223241e-04   1.409311e-12   96
  6.162770e-02   1.541060e-11   2.478098e-04   1.269990e-12   168
  6.283185e-02   2.154758e-11   0.000000e+00   9.446202e-12   6
  6.332082e-02   1.708829e-11   0.000000e+00   1.669490e-12   96
  6.390236e-02   1.629673e-11   1.926248e-04   1.607702e-12   120
