# power spectrum of phi
# redshift z=19.638062
# k              Pk             sigma(k)       sigma(Pk)      count
  1.570796e-02   2.141601e-10   0.000000e+00   8.633641e-11   6
  2.221441e-02   9.699318e-11   0.000000e+00   1.936406e-11   12
  2.720699e-02   5.935737e-11   2.980232e-10   1.212361e-11   8
  3.141593e-02   1.668792e-10   0.000000e+00   1.796264e-11   6
  3.512407e-02   1.006784e-10   5.619580e-10   3.209056e-11   24
  3.847649e-02   1.278419e-10   5.619580e-10   2.161072e-11   24
  4.635387e-02   5.055282e-11   1.217504e-03   9.120745e-12   42
  4.967294e-02   6.163111e-11   0.000000e+00   1.354789e-11   24
  5.209742e-02   5.370554e-11   9.733398e-10   1.333279e-11   24
  5.608040e-02   5.237676e-11   9.621049e-04   5.626820e-12   32
  5.877382e-02   4.555042e-11   0.000000e+00   6.419216e-12   48
  6.283185e-02   5.137174e-11   0.000000e+00   2.260036e-11   6
  6.557030e-02   3.881794e-11   9.291969e-04   3.648239e-12   84
  6.935879e-02   4.085526e-11   8.893614e-04   6.213438e-12   48
  7.254758e-02   3.050921e-11   7.985346e-04   3.090738e-12   72
  7.695299e-02   3.038221e-11   1.123916e-09   4.743877e-12   24
  7.963774e-02   2.072394e-11   7.087081e-04   1.901228e-12   102
  8.367643e-02   2.372767e-11   1.370308e-03   2.411728e-12   104
  8.603606e-02   1.505199e-11   0.000000e+00   2.205935e-12   48
  9.068541e-02   1.308703e-11   9.092824e-04   1.174553e-12   108
  9.343657e-02   1.759900e-11   6.413175e-04   1.846377e-12   78
  9.650974e-02   1.720923e-11   5.553727e-04   1.616216e-12   96
  1.007521e-01   1.295925e-11   7.827476e-04   9.840958e-13   168
  1.046631e-01   1.247608e-11   9.466177e-04   1.295288e-12   120
  1.065366e-01   1.155331e-11   0.000000e+00   1.771873e-12   48
  1.109423e-01   1.117446e-11   9.164765e-04   9.613175e-13   194
  1.147571e-01   9.628187e-12   7.498405e-04   7.701864e-13   192
  1.180701e-01   1.161201e-11   5.224442e-04   9.701791e-13   96
  1.203984e-01   7.761838e-12   4.446482e-04   7.339986e-13   96
  1.233385e-01   8.149525e-12   6.559487e-04   6.631719e-13   174
  1.272878e-01   8.574814e-12   6.453399e-04   6.009711e-13   216
  1.304784e-01   6.826510e-12   6.685951e-04   4.698903e-13   192
  1.345850e-01   6.946126e-12   7.087816e-04   4.783530e-13   204
  1.374813e-01   5.318140e-12   9.706973e-04   3.357685e-13   224
  1.414909e-01   6.823199e-12   5.479655e-04   5.263801e-13   174
  1.446033e-01   5.653935e-12   1.053365e-03   3.220434e-13   288
  1.484650e-01   4.775274e-12   5.185518e-04   2.895845e-13   288
  1.514788e-01   4.228067e-12   1.000184e-03   3.035806e-13   192
  1.554236e-01   4.450157e-12   7.319331e-04   2.648526e-13   252
  1.579196e-01   4.288215e-12   4.361590e-04   2.716021e-13   246
  1.613100e-01   3.744352e-12   8.276231e-04   2.230857e-13   312
