# power spectrum of phi_prime
# redshift z=9.951253
# k              Pk             sigma(k)       sigma(Pk)      count
  1.570796e-02   2.748993e-15   0.000000e+00   9.271047e-16   6
  2.221441e-02   2.616416e-15   0.000000e+00   4.080383e-16   12
  2.720699e-02   3.115804e-15   2.980232e-10   1.529082e-15   8
  3.141593e-02   1.871063e-15   0.000000e+00   6.444522e-16   6
  3.512407e-02   4.665498e-15   5.619580e-10   7.681105e-16   24
  3.847649e-02   8.515672e-15   5.619580e-10   1.090737e-15   24
  4.442883e-02   1.560231e-14   0.000000e+00   4.266166e-15   12
  4.712389e-02   1.403042e-14   6.357829e-10   2.357391e-15   30
  4.967294e-02   8.106841e-15   0.000000e+00   1.065353e-15   24
  5.209742e-02   1.068256e-14   9.733398e-10   2.346577e-15   24
  5.441398e-02   1.243995e-14   5.960464e-10   3.416426e-15   8
  5.663587e-02   1.400906e-14   7.947286e-10   4.100996e-15   24
  5.877382e-02   1.440690e-14   0.000000e+00   2.304947e-15   48
  6.283185e-02   6.997742e-15   0.000000e+00   2.411151e-15   6
  6.476559e-02   1.355223e-14   7.947286e-10   2.285424e-15   48
  6.664324e-02   1.584206e-14   7.492773e-10   2.799472e-15   36
  6.846942e-02   1.219720e-14   7.947286e-10   2.486640e-15   24
  7.024815e-02   2.364454e-14   1.123916e-09   5.226887e-15   24
  7.198293e-02   1.618065e-14   0.000000e+00   1.825859e-15   48
  7.367688e-02   3.736035e-14   1.123916e-09   5.069331e-15   24
  7.695299e-02   1.510017e-14   1.123916e-09   1.934861e-15   24
  7.853982e-02   2.041916e-14   0.000000e+00   2.879039e-15   30
  8.009521e-02   1.924984e-14   0.000000e+00   1.922019e-15   72
  8.162097e-02   1.580913e-14   1.192093e-09   3.028865e-15   32
  8.458997e-02   2.457048e-14   0.000000e+00   2.619506e-15   72
  8.603606e-02   1.580949e-14   0.000000e+00   1.921170e-15   48
  8.885766e-02   2.831567e-14   0.000000e+00   8.313257e-15   12
  9.091388e-02   2.567428e-14   6.784996e-04   2.240584e-15   96
  9.292956e-02   3.245610e-14   1.123916e-09   4.895837e-15   48
  9.424778e-02   3.769025e-14   1.271566e-09   6.920024e-15   30
  9.650974e-02   2.705986e-14   5.553727e-04   2.776337e-15   96
  9.934588e-02   4.086979e-14   0.000000e+00   1.272366e-14   24
  1.009864e-01   2.634316e-14   5.747348e-04   2.705459e-15   144
  1.030040e-01   2.684827e-14   1.946680e-09   2.419119e-15   24
  1.050779e-01   3.913463e-14   5.098206e-04   3.601273e-15   96
  1.065366e-01   2.322386e-14   0.000000e+00   2.731519e-15   48
  1.098102e-01   3.771214e-14   3.780724e-04   4.074484e-15   62
  1.114740e-01   3.274253e-14   5.316623e-04   2.647989e-15   132
  1.132717e-01   2.923227e-14   1.589457e-09   4.317896e-15   24
  1.149693e-01   2.966594e-14   5.313863e-04   2.244674e-15   168
  1.180701e-01   3.043029e-14   5.224442e-04   2.940450e-15   96
  1.203984e-01   3.344216e-14   4.446482e-04   2.739722e-15   96
  1.232554e-01   3.280786e-14   4.956196e-04   2.790141e-15   168
  1.256637e-01   3.816217e-14   0.000000e+00   1.405971e-14   6
  1.266416e-01   3.681974e-14   0.000000e+00   4.677848e-15   96
  1.278047e-01   3.647094e-14   3.852495e-04   3.691999e-15   120
  1.301638e-01   2.716144e-14   4.473436e-04   2.158947e-15   144
  1.314222e-01   4.521634e-14   0.000000e+00   7.749221e-15   48
  1.338136e-01   3.087479e-14   4.564740e-04   4.036128e-15   84
  1.351250e-01   2.663908e-14   3.114687e-09   2.357334e-15   120
  1.363061e-01   2.612392e-14   4.142175e-04   3.763014e-15   80
  1.381342e-01   3.774242e-14   4.205668e-04   3.012275e-15   144
  1.404963e-01   1.823027e-14   2.247832e-09   2.610617e-15   24
  1.416501e-01   3.515306e-14   4.058285e-04   2.289126e-15   150
  1.434502e-01   4.456749e-14   4.210699e-04   4.125279e-15   120
  1.454270e-01   3.746256e-14   3.837166e-04   3.107276e-15   168
  1.473538e-01   5.047676e-14   2.247832e-09   8.911676e-15   24
  1.485660e-01   2.907223e-14   4.133786e-04   1.773225e-15   264
  1.498444e-01   2.547887e-14   2.247832e-09   3.977428e-15   48
  1.520236e-01   3.981719e-14   3.828947e-04   2.984732e-15   144
  1.544390e-01   4.065357e-14   3.768959e-04   3.809832e-15   72
  1.558174e-01   3.615719e-14   3.876848e-04   2.843806e-15   180
  1.577444e-01   3.291352e-14   2.809042e-04   1.851457e-15   198
  1.586427e-01   4.146851e-14   0.000000e+00   6.520653e-15   48
  1.606295e-01   3.549452e-14   3.802118e-04   2.893310e-15   168
  1.621039e-01   4.240640e-14   3.805277e-04   3.029820e-15   144
  1.643345e-01   3.794413e-14   5.346625e-04   2.428560e-15   248
  1.673465e-01   2.631633e-14   3.686065e-04   1.852615e-15   192
  1.693976e-01   3.327814e-14   5.693667e-04   2.037378e-15   240
  1.706322e-01   3.462623e-14   0.000000e+00   3.521080e-15   72
  1.725150e-01   3.261488e-14   3.474519e-04   3.567682e-15   126
  1.737029e-01   3.742987e-14   3.205713e-04   2.763199e-15   168
  1.759709e-01   3.537269e-14   3.505411e-04   2.271777e-15   288
  1.783549e-01   3.749076e-14   1.846233e-04   2.756211e-15   156
  1.795894e-01   3.374673e-14   3.105899e-04   2.580838e-15   168
  1.814616e-01   3.959380e-14   5.324516e-04   2.659086e-15   264
  1.831848e-01   3.050288e-14   0.000000e+00   3.865264e-15   48
  1.844652e-01   4.227495e-14   5.299184e-04   2.564535e-15   264
  1.863009e-01   4.130933e-14   3.123533e-04   2.723190e-15   144
  1.876872e-01   4.103837e-14   6.390593e-04   4.161588e-15   78
  1.897067e-01   3.325423e-14   4.154149e-04   2.071589e-15   336
  1.916111e-01   3.386855e-14   3.160631e-04   2.674959e-15   200
  1.928618e-01   3.475728e-14   6.188557e-04   2.571543e-15   192
  1.945503e-01   2.983494e-14   3.105574e-04   2.200437e-15   240
  1.961016e-01   3.170849e-14   6.223754e-04   2.265876e-15   168
  1.976952e-01   3.361716e-14   4.982915e-04   3.240594e-15   120
  1.996091e-01   3.188950e-14   3.894583e-04   1.777908e-15   324
  2.014663e-01   3.600635e-14   3.061804e-04   2.998097e-15   192
  2.027302e-01   3.416186e-14   5.491178e-04   2.503244e-15   168
  2.048802e-01   3.889267e-14   4.522690e-04   2.321772e-15   342
  2.068188e-01   3.507144e-14   3.641675e-04   1.818769e-15   336
  2.087838e-01   3.229496e-14   2.786838e-04   3.550172e-15   72
  2.101088e-01   3.732497e-14   4.457174e-04   2.430379e-15   288
  2.116470e-01   3.554551e-14   2.902819e-04   1.934259e-15   264
  2.137954e-01   3.513804e-14   3.817923e-04   2.103158e-15   384
  2.157197e-01   4.066235e-14   4.582500e-04   3.080641e-15   240
  2.165193e-01   2.662694e-14   0.000000e+00   3.129919e-15   48
  2.188323e-01   3.784965e-14   3.751076e-04   1.939070e-15   392
  2.205970e-01   3.752233e-14   4.116619e-04   2.101792e-15   294
  2.224945e-01   4.038618e-14   2.675587e-04   3.423942e-15   228
  2.237424e-01   4.043659e-14   4.063271e-04   2.795525e-15   216
  2.252951e-01   3.232030e-14   2.475063e-04   1.806546e-15   336
  2.271958e-01   3.284394e-14   2.940781e-04   1.788430e-15   360
  2.287649e-01   3.676350e-14   4.480490e-04   2.427275e-15   240
  2.303999e-01   3.662754e-14   5.301447e-04   2.737767e-15   168
  2.319249e-01   2.878313e-14   4.172883e-04   1.786397e-15   312
  2.337418e-01   3.194513e-14   2.611535e-04   1.817237e-15   336
  2.357046e-01   3.690101e-14   3.562619e-04   2.756204e-15   294
  2.371846e-01   3.653076e-14   4.748243e-04   2.347129e-15   288
  2.383170e-01   3.645037e-14   2.971134e-04   2.639289e-15   264
  2.403364e-01   3.309128e-14   5.103645e-04   1.648662e-15   480
  2.420249e-01   3.546178e-14   2.496686e-04   2.182120e-15   240
  2.440949e-01   3.134482e-14   2.524589e-04   2.118832e-15   276
  2.457280e-01   3.251928e-14   5.541970e-04   1.439922e-15   488
  2.476682e-01   3.581919e-14   2.440802e-04   2.332187e-15   240
  2.487944e-01   3.260865e-14   4.739408e-04   1.724688e-15   360
  2.503735e-01   3.929501e-14   1.686210e-04   3.394111e-15   198
  2.524044e-01   3.417885e-14   5.697771e-04   1.516191e-15   480
  2.538913e-01   3.603718e-14   2.103076e-04   1.979071e-15   288
  2.559478e-01   3.499306e-14   4.445422e-04   1.827902e-15   480
  2.577972e-01   3.599326e-14   2.738942e-04   1.663798e-15   480
  2.596963e-01   3.248427e-14   3.542367e-04   1.870597e-15   288
  2.608812e-01   3.415285e-14   3.779053e-04   2.112720e-15   288
  2.627448e-01   3.787942e-14   6.569890e-04   2.313368e-15   456
  2.646214e-01   3.486776e-14   6.187305e-04   1.886386e-15   360
  2.658312e-01   3.394814e-14   3.708853e-04   2.846602e-15   180
  2.675821e-01   3.709898e-14   4.039393e-04   1.649068e-15   486
  2.693567e-01   3.532976e-14   5.373692e-04   1.589200e-15   504
  2.711612e-01   3.588714e-14   4.175087e-04   1.905655e-15   456
  2.726573e-01   3.581929e-14   3.468761e-04   1.850047e-15   296
  2.746340e-01   3.632853e-14   3.422861e-04   1.593218e-15   528
