# power spectrum of zeta
# redshift z=99.949519
# k              Pk             sigma(k)       sigma(Pk)      count
  1.570796e-02   3.482147e-20   0.000000e+00   1.403593e-20   6
  2.221441e-02   6.330898e-20   0.000000e+00   1.263791e-20   12
  2.720699e-02   8.763179e-20   2.980232e-10   1.783271e-20   8
  3.141593e-02   4.383954e-19   0.000000e+00   4.717452e-20   6
  3.512407e-02   4.143300e-19   5.619580e-10   1.320847e-19   24
  3.847649e-02   7.584894e-19   5.619580e-10   1.277870e-19   24
  4.442883e-02   5.023293e-19   0.000000e+00   2.260973e-19   12
  4.712389e-02   6.901611e-19   6.357829e-10   1.271363e-19   30
  4.967294e-02   1.007608e-18   0.000000e+00   2.220580e-19   24
  5.209742e-02   1.062496e-18   9.733398e-10   2.633750e-19   24
  5.441398e-02   1.421033e-18   5.960464e-10   2.880475e-19   8
  5.663587e-02   1.365996e-18   7.947286e-10   1.697044e-19   24
  5.877382e-02   1.448550e-18   0.000000e+00   2.035602e-19   48
  6.283185e-02   2.129579e-18   0.000000e+00   9.363329e-19   6
  6.476559e-02   1.883814e-18   7.947286e-10   2.645217e-19   48
  6.664324e-02   1.916943e-18   7.492773e-10   1.993583e-19   36
  6.846942e-02   3.010302e-18   7.947286e-10   6.294787e-19   24
  7.024815e-02   1.916017e-18   1.123916e-09   3.298504e-19   24
  7.198293e-02   1.852099e-18   0.000000e+00   2.518616e-19   48
  7.367688e-02   3.089048e-18   1.123916e-09   4.396973e-19   24
  7.695299e-02   2.799554e-18   1.123916e-09   4.403683e-19   24
  7.853982e-02   2.028932e-18   0.000000e+00   3.320987e-19   30
  8.009521e-02   2.289269e-18   0.000000e+00   2.528457e-19   72
  8.162097e-02   2.351164e-18   1.192093e-09   4.786666e-19   32
  8.458997e-02   3.459430e-18   0.000000e+00   4.012569e-19   72
  8.603606e-02   2.201752e-18   0.000000e+00   3.218893e-19   48
  8.885766e-02   1.274384e-18   0.000000e+00   3.790765e-19   12
  9.023538e-02   2.621225e-18   0.000000e+00   3.931403e-19   48
  9.159238e-02   2.407292e-18   0.000000e+00   2.396305e-19   48
  9.292956e-02   3.315268e-18   1.123916e-09   4.182120e-19   48
  9.424778e-02   4.133872e-18   1.271566e-09   7.246496e-19   30
  9.554781e-02   3.786227e-18   0.000000e+00   8.516061e-19   24
  9.683039e-02   4.051335e-18   2.369423e-09   4.073265e-19   72
  9.934588e-02   2.563163e-18   0.000000e+00   4.865405e-19   24
  1.005800e-01   4.065186e-18   0.000000e+00   4.027838e-19   96
  1.017992e-01   3.240479e-18   0.000000e+00   4.303067e-19   48
  1.030040e-01   2.801189e-18   1.946680e-09   6.880770e-19   24
  1.041948e-01   2.096670e-18   1.946680e-09   4.305494e-19   24
  1.053722e-01   5.191358e-18   0.000000e+00   6.337872e-19   72
  1.065366e-01   4.009307e-18   0.000000e+00   6.171925e-19   48
  1.088280e-01   3.736365e-18   1.192093e-09   1.115338e-18   8
