# power spectrum of phi
# redshift z=99.983169
# k              Pk             sigma(k)       sigma(Pk)      count
  1.570796e-02   2.213564e-10   0.000000e+00   8.922493e-11   6
  2.221441e-02   1.003212e-10   0.000000e+00   2.002638e-11   12
  2.720699e-02   6.144021e-11   2.980232e-10   1.250296e-11   8
  3.141593e-02   1.731764e-10   0.000000e+00   1.863503e-11   6
  3.512407e-02   1.044552e-10   5.619580e-10   3.329941e-11   24
  3.847649e-02   1.326012e-10   5.619580e-10   2.234029e-11   24
  4.442883e-02   4.955354e-11   0.000000e+00   2.230393e-11   12
  4.712389e-02   5.392255e-11   6.357829e-10   9.921001e-12   30
  4.967294e-02   6.433594e-11   0.000000e+00   1.417830e-11   24
  5.209742e-02   5.615510e-11   9.733398e-10   1.392002e-11   24
  5.441398e-02   6.291821e-11   5.960464e-10   1.275328e-11   8
  5.663587e-02   5.195541e-11   7.947286e-10   6.454914e-12   24
  5.877382e-02   4.758069e-11   0.000000e+00   6.686511e-12   48
  6.283185e-02   5.453794e-11   0.000000e+00   2.397923e-11   6
  6.476559e-02   4.244614e-11   7.947286e-10   5.951264e-12   48
  6.664324e-02   3.868016e-11   7.492773e-10   4.030099e-12   36
  6.846942e-02   5.416999e-11   7.947286e-10   1.132767e-11   24
  7.024815e-02   3.137487e-11   1.123916e-09   5.400933e-12   24
  7.198293e-02   2.747821e-11   0.000000e+00   3.736460e-12   48
  7.367688e-02   4.140937e-11   1.123916e-09   5.894300e-12   24
  7.695299e-02   3.168839e-11   1.123916e-09   4.984165e-12   24
  7.853982e-02   2.119504e-11   0.000000e+00   3.467513e-12   30
  8.009521e-02   2.215263e-11   0.000000e+00   2.439524e-12   72
  8.162097e-02   2.129165e-11   1.192093e-09   4.344160e-12   32
  8.458997e-02   2.673696e-11   0.000000e+00   3.091801e-12   72
  8.603606e-02   1.606293e-11   0.000000e+00   2.348393e-12   48
  8.885766e-02   8.077066e-12   0.000000e+00   2.402579e-12   12
  9.023538e-02   1.563967e-11   0.000000e+00   2.344970e-12   48
  9.159238e-02   1.348946e-11   0.000000e+00   1.339993e-12   48
  9.292956e-02   1.761536e-11   1.123916e-09   2.222497e-12   48
  9.424778e-02   2.069420e-11   1.271566e-09   3.624434e-12   30
  9.554781e-02   1.840475e-11   0.000000e+00   4.139625e-12   24
  9.683039e-02   1.837584e-11   2.369423e-09   1.863635e-12   72
  9.934588e-02   1.059951e-11   0.000000e+00   2.012139e-12   24
  1.005800e-01   1.573569e-11   0.000000e+00   1.549625e-12   96
  1.017992e-01   1.192102e-11   0.000000e+00   1.583623e-12   48
  1.030040e-01   9.787782e-12   1.946680e-09   2.403744e-12   24
  1.041948e-01   7.128874e-12   1.946680e-09   1.464259e-12   24
  1.053722e-01   1.670927e-11   0.000000e+00   2.039942e-12   72
  1.065366e-01   1.247955e-11   0.000000e+00   1.920883e-12   48
  1.088280e-01   1.045006e-11   1.192093e-09   3.118470e-12   8
  1.099557e-01   1.556300e-11   1.412851e-09   1.870461e-12   54
  1.110721e-01   1.031183e-11   0.000000e+00   1.789709e-12   84
  1.121773e-01   1.141602e-11   0.000000e+00   1.640704e-12   48
  1.132717e-01   6.995450e-12   1.589457e-09   1.247489e-12   24
  1.143557e-01   9.313331e-12   2.119276e-09   1.102251e-12   72
  1.154295e-01   1.215071e-11   0.000000e+00   1.378013e-12   96
  1.175476e-01   1.621009e-11   0.000000e+00   1.767971e-12   48
  1.185925e-01   8.866522e-12   0.000000e+00   8.303554e-13   48
  1.196283e-01   7.783757e-12   0.000000e+00   1.514472e-12   24
  1.206552e-01   8.704503e-12   0.000000e+00   9.399823e-13   72
  1.226831e-01   8.829914e-12   0.000000e+00   1.043208e-12   72
  1.236846e-01   8.648425e-12   0.000000e+00   9.861339e-13   96
  1.256637e-01   1.225262e-11   0.000000e+00   5.384799e-12   6
  1.266416e-01   9.656931e-12   0.000000e+00   9.422558e-13   96
  1.276121e-01   9.849432e-12   1.589457e-09   1.051601e-12   96
  1.285752e-01   6.537721e-12   0.000000e+00   1.554774e-12   24
  1.295312e-01   7.246315e-12   1.589457e-09   8.840842e-13   48
  1.304801e-01   7.308458e-12   0.000000e+00   7.364600e-13   96
  1.314222e-01   8.198945e-12   0.000000e+00   1.105044e-12   48
  1.332865e-01   7.301215e-12   1.498555e-09   1.355168e-12   36
  1.342089e-01   7.280387e-12   2.753021e-09   9.124182e-13   48
  1.351250e-01   7.953699e-12   3.114687e-09   7.123142e-13   120
  1.360350e-01   6.981916e-12   0.000000e+00   9.192342e-13   56
  1.369388e-01   3.855370e-12   1.589457e-09   6.751128e-13   24
  1.378368e-01   5.582827e-12   0.000000e+00   4.968085e-13   96
  1.387290e-01   5.825157e-12   0.000000e+00   7.514315e-13   48
  1.404963e-01   7.072743e-12   2.247832e-09   1.311631e-12   24
  1.413717e-01   7.508058e-12   0.000000e+00   7.498241e-13   102
  1.422417e-01   7.890800e-12   1.589457e-09   1.190307e-12   48
  1.431064e-01   7.005626e-12   0.000000e+00   7.010182e-13   72
  1.439659e-01   6.310969e-12   0.000000e+00   6.373814e-13   48
  1.448203e-01   6.834246e-12   0.000000e+00   1.258801e-12   48
  1.456697e-01   5.674717e-12   3.596531e-09   5.057795e-13   120
  1.473538e-01   8.449817e-12   2.247832e-09   1.413005e-12   24
  1.481886e-01   4.977541e-12   2.119276e-09   4.185240e-13   144
  1.490188e-01   5.031253e-12   2.543132e-09   4.858778e-13   120
  1.498444e-01   4.017186e-12   2.247832e-09   5.631437e-13   48
  1.514821e-01   5.686150e-12   2.247832e-09   7.586430e-13   48
  1.522944e-01   4.606301e-12   2.247832e-09   4.748270e-13   96
  1.544390e-01   5.834892e-12   3.768959e-04   7.061923e-13   72
  1.555009e-01   4.314195e-12   1.998073e-09   3.275938e-13   108
  1.562923e-01   5.003113e-12   0.000000e+00   5.356934e-13   72
  1.570796e-01   3.095244e-12   0.000000e+00   5.937801e-13   30
  1.578631e-01   5.039875e-12   0.000000e+00   3.955264e-13   168
  1.586427e-01   5.094986e-12   0.000000e+00   5.698193e-13   48
  1.601904e-01   3.371226e-12   0.000000e+00   3.962920e-13   72
  1.609587e-01   4.432982e-12   0.000000e+00   4.247318e-13   96
