# power spectrum of zeta
# redshift z=96.079122
# k              Pk             sigma(k)       sigma(Pk)      count
  1.570796e-02   3.861549e-20   0.000000e+00   1.556524e-20   6
  2.221441e-02   6.955279e-20   0.000000e+00   1.388432e-20   12
  2.720699e-02   9.596038e-20   2.980232e-10   1.952755e-20   8
  3.141593e-02   4.789109e-19   0.000000e+00   5.153428e-20   6
  3.512407e-02   4.522257e-19   5.619580e-10   1.441655e-19   24
  3.847649e-02   8.274139e-19   5.619580e-10   1.393991e-19   24
  4.442883e-02   5.474902e-19   0.000000e+00   2.464241e-19   12
  4.712389e-02   7.520707e-19   6.357829e-10   1.385645e-19   30
  4.967294e-02   1.096924e-18   0.000000e+00   2.417415e-19   24
  5.209742e-02   1.156832e-18   9.733398e-10   2.867593e-19   24
  5.441398e-02   1.548490e-18   5.960464e-10   3.138833e-19   8
  5.663587e-02   1.487378e-18   7.947286e-10   1.847842e-19   24
  5.877382e-02   1.577489e-18   0.000000e+00   2.216796e-19   48
  6.283185e-02   2.314459e-18   0.000000e+00   1.017621e-18   6
  6.476559e-02   2.049746e-18   7.947286e-10   2.878871e-19   48
  6.664324e-02   2.084871e-18   7.492773e-10   2.167663e-19   36
  6.846942e-02   3.277202e-18   7.947286e-10   6.852898e-19   24
  7.024815e-02   2.083423e-18   1.123916e-09   3.586701e-19   24
  7.198293e-02   2.014113e-18   0.000000e+00   2.738934e-19   48
  7.367688e-02   3.362878e-18   1.123916e-09   4.786745e-19   24
  7.695299e-02   3.044561e-18   1.123916e-09   4.789078e-19   24
  7.853982e-02   2.205484e-18   0.000000e+00   3.610244e-19   30
  8.009521e-02   2.487213e-18   0.000000e+00   2.748243e-19   72
  8.162097e-02   2.550379e-18   1.192093e-09   5.190671e-19   32
  8.458997e-02   3.758673e-18   0.000000e+00   4.361574e-19   72
  8.603606e-02   2.388010e-18   0.000000e+00   3.491196e-19   48
  8.885766e-02   1.383652e-18   0.000000e+00   4.115792e-19   12
  9.023538e-02   2.844789e-18   0.000000e+00   4.266836e-19   48
  9.159238e-02   2.613082e-18   0.000000e+00   2.601857e-19   48
