# power spectrum of phi
# redshift z=99.196868
# k              Pk             sigma(k)       sigma(Pk)      count
  1.570796e-02   2.208513e-10   0.000000e+00   8.902134e-11   6
  2.221441e-02   1.000856e-10   0.000000e+00   1.997946e-11   12
  2.720699e-02   6.130161e-11   2.980232e-10   1.247847e-11   8
  3.141593e-02   1.721469e-10   0.000000e+00   1.852418e-11   6
  3.512407e-02   1.038982e-10   5.619580e-10   3.312262e-11   24
  3.847649e-02   1.319611e-10   5.619580e-10   2.223744e-11   24
  4.442883e-02   4.922644e-11   0.000000e+00   2.215640e-11   12
  4.712389e-02   5.355745e-11   6.357829e-10   9.856936e-12   30
  4.967294e-02   6.360445e-11   0.000000e+00   1.401488e-11   24
  5.209742e-02   5.554754e-11   9.733398e-10   1.377112e-11   24
  5.441398e-02   6.248854e-11   5.960464e-10   1.265997e-11   8
  5.663587e-02   5.138579e-11   7.947286e-10   6.387566e-12   24
  5.877382e-02   4.708009e-11   0.000000e+00   6.618126e-12   48
  6.283185e-02   5.337712e-11   0.000000e+00   2.346891e-11   6
  6.476559e-02   4.178280e-11   7.947286e-10   5.867557e-12   48
  6.664324e-02   3.799661e-11   7.492773e-10   3.954340e-12   36
  6.846942e-02   5.349537e-11   7.947286e-10   1.118967e-11   24
  7.024815e-02   3.079282e-11   1.123916e-09   5.296824e-12   24
  7.198293e-02   2.698386e-11   0.000000e+00   3.667032e-12   48
  7.367688e-02   4.086832e-11   1.123916e-09   5.817805e-12   24
  7.695299e-02   3.117102e-11   1.123916e-09   4.899269e-12   24
  7.853982e-02   2.077694e-11   0.000000e+00   3.401784e-12   30
  8.009521e-02   2.169178e-11   0.000000e+00   2.394035e-12   72
  8.162097e-02   2.066839e-11   1.192093e-09   4.212700e-12   32
  8.458997e-02   2.621762e-11   0.000000e+00   3.039796e-12   72
  8.603606e-02   1.560619e-11   0.000000e+00   2.281937e-12   48
  8.885766e-02   7.893779e-12   0.000000e+00   2.348025e-12   12
  9.091388e-02   1.423065e-11   6.784996e-04   1.322579e-12   96
  9.292956e-02   1.712090e-11   1.123916e-09   2.162440e-12   48
  9.424778e-02   2.017699e-11   1.271566e-09   3.536625e-12   30
  9.650974e-02   1.772486e-11   5.553727e-04   1.667225e-12   96
  9.934588e-02   1.014319e-11   0.000000e+00   1.926340e-12   24
  1.009864e-01   1.403379e-11   5.747348e-04   1.139145e-12   144
  1.030040e-01   9.543913e-12   1.946680e-09   2.341198e-12   24
  1.050779e-01   1.384297e-11   5.098206e-04   1.576008e-12   96
  1.065366e-01   1.199857e-11   0.000000e+00   1.845759e-12   48
  1.098102e-01   1.431800e-11   3.780724e-04   1.616490e-12   62
  1.114740e-01   1.031586e-11   5.316623e-04   1.245480e-12   132
  1.132717e-01   6.733357e-12   1.589457e-09   1.198906e-12   24
  1.149693e-01   1.046475e-11   5.313863e-04   8.882399e-13   168
  1.180701e-01   1.206553e-11   5.224442e-04   1.008042e-12   96
  1.203984e-01   8.077131e-12   4.446482e-04   7.629139e-13   96
