# power spectrum of phi_prime
# redshift z=9.907655
# k              Pk             sigma(k)       sigma(Pk)      count
  1.570796e-02   3.295779e-15   0.000000e+00   1.221979e-15   6
  2.221441e-02   4.641007e-15   0.000000e+00   7.913666e-16   12
  2.720699e-02   5.191567e-15   2.980232e-10   1.631190e-15   8
  3.141593e-02   2.100294e-15   0.000000e+00   8.499983e-16   6
  3.512407e-02   5.106226e-15   5.619580e-10   9.753696e-16   24
  3.847649e-02   1.158015e-14   5.619580e-10   1.370934e-15   24
  4.442883e-02   1.448837e-14   0.000000e+00   4.217846e-15   12
  4.712389e-02   1.710720e-14   6.357829e-10   3.386905e-15   30
  4.967294e-02   5.769533e-15   0.000000e+00   9.165470e-16   24
  5.209742e-02   1.002430e-14   9.733398e-10   1.921935e-15   24
  5.441398e-02   1.877659e-14   5.960464e-10   3.917403e-15   8
  5.663587e-02   1.388800e-14   7.947286e-10   3.284259e-15   24
  5.877382e-02   1.517089e-14   0.000000e+00   1.695137e-15   48
  6.283185e-02   2.390780e-15   0.000000e+00   9.097657e-16   6
  6.476559e-02   1.327871e-14   7.947286e-10   2.447666e-15   48
  6.664324e-02   1.214509e-14   7.492773e-10   2.522441e-15   36
  6.846942e-02   2.263918e-14   7.947286e-10   6.634989e-15   24
  7.024815e-02   1.272371e-14   1.123916e-09   3.956577e-15   24
  7.198293e-02   1.147247e-14   0.000000e+00   1.584982e-15   48
  7.367688e-02   4.724875e-14   1.123916e-09   6.842914e-15   24
  7.695299e-02   1.109057e-14   1.123916e-09   1.433794e-15   24
  7.853982e-02   1.799297e-14   0.000000e+00   3.088430e-15   30
  8.009521e-02   1.337553e-14   0.000000e+00   1.737349e-15   72
  8.162097e-02   8.003941e-15   1.192093e-09   2.288967e-15   32
  8.458997e-02   1.996265e-14   0.000000e+00   1.880476e-15   72
  8.603606e-02   7.822617e-15   0.000000e+00   1.166195e-15   48
  8.885766e-02   2.119148e-14   0.000000e+00   6.410349e-15   12
  9.023538e-02   2.033038e-14   0.000000e+00   2.613590e-15   48
  9.159238e-02   2.130676e-14   0.000000e+00   3.037043e-15   48
  9.292956e-02   2.742681e-14   1.123916e-09   3.610405e-15   48
  9.424778e-02   3.350633e-14   1.271566e-09   5.090154e-15   30
  9.554781e-02   3.053844e-15   0.000000e+00   5.312461e-16   24
  9.683039e-02   1.421535e-14   2.369423e-09   2.166675e-15   72
  9.934588e-02   8.768563e-15   0.000000e+00   2.203293e-15   24
  1.005800e-01   2.297315e-14   0.000000e+00   3.333055e-15   96
  1.017992e-01   2.229239e-14   0.000000e+00   3.184078e-15   48
  1.030040e-01   2.181160e-14   1.946680e-09   3.521282e-15   24
  1.041948e-01   1.963144e-14   1.946680e-09   3.193688e-15   24
  1.053722e-01   3.243236e-14   0.000000e+00   4.138381e-15   72
  1.065366e-01   1.350699e-14   0.000000e+00   1.318714e-15   48
  1.088280e-01   4.751161e-14   1.192093e-09   1.135224e-14   8
  1.099557e-01   2.099219e-14   1.412851e-09   3.041895e-15   54
  1.110721e-01   3.342299e-14   0.000000e+00   5.255267e-15   84
  1.121773e-01   8.559151e-15   0.000000e+00   1.378698e-15   48
  1.132717e-01   1.439209e-14   1.589457e-09   3.355530e-15   24
  1.143557e-01   2.077707e-14   2.119276e-09   4.087719e-15   72
  1.154295e-01   1.763559e-14   0.000000e+00   2.054679e-15   96
  1.175476e-01   3.962617e-14   0.000000e+00   4.403909e-15   48
  1.185925e-01   1.827516e-14   0.000000e+00   3.128975e-15   48
  1.196283e-01   1.071068e-14   0.000000e+00   2.188948e-15   24
  1.206552e-01   2.259229e-14   0.000000e+00   2.317794e-15   72
  1.226831e-01   2.937989e-14   0.000000e+00   3.607724e-15   72
  1.236846e-01   2.058933e-14   0.000000e+00   1.793010e-15   96
  1.256637e-01   6.587760e-16   0.000000e+00   1.983704e-16   6
  1.266416e-01   2.513500e-14   0.000000e+00   3.395782e-15   96
  1.276121e-01   2.013377e-14   1.589457e-09   2.002127e-15   96
  1.285752e-01   3.705645e-14   0.000000e+00   9.544493e-15   24
  1.295312e-01   2.224242e-14   1.589457e-09   6.699053e-15   48
  1.304801e-01   1.566282e-14   0.000000e+00   1.988909e-15   96
  1.314222e-01   4.468570e-14   0.000000e+00   6.456596e-15   48
  1.332865e-01   2.424753e-14   1.498555e-09   1.035802e-14   36
  1.342089e-01   2.136175e-14   2.753021e-09   2.906186e-15   48
  1.351250e-01   2.225836e-14   3.114687e-09   2.310249e-15   120
  1.360350e-01   2.330091e-14   0.000000e+00   2.753380e-15   56
  1.369388e-01   2.414512e-14   1.589457e-09   4.713853e-15   24
  1.378368e-01   2.898902e-14   0.000000e+00   3.595986e-15   96
  1.387290e-01   2.526364e-14   0.000000e+00   2.869690e-15   48
  1.404963e-01   9.890795e-15   2.247832e-09   1.783399e-15   24
  1.413717e-01   2.548407e-14   0.000000e+00   2.840953e-15   102
  1.422417e-01   1.307357e-14   1.589457e-09   2.676028e-15   48
  1.431064e-01   2.558029e-14   0.000000e+00   3.895000e-15   72
  1.439659e-01   2.107880e-14   0.000000e+00   3.546969e-15   48
  1.448203e-01   1.675558e-14   0.000000e+00   3.050421e-15   48
  1.456697e-01   1.976809e-14   3.596531e-09   2.544924e-15   120
  1.473538e-01   6.467915e-14   2.247832e-09   1.200174e-14   24
  1.481886e-01   2.018218e-14   2.119276e-09   1.805143e-15   144
  1.490188e-01   2.173593e-14   2.543132e-09   2.346933e-15   120
  1.498444e-01   6.632342e-15   2.247832e-09   6.960081e-16   48
  1.514821e-01   2.329332e-14   2.247832e-09   2.981116e-15   48
  1.522944e-01   2.442534e-14   2.247832e-09   3.147155e-15   96
  1.544390e-01   4.026362e-14   3.768959e-04   5.112532e-15   72
  1.555009e-01   1.806915e-14   1.998073e-09   1.835539e-15   108
  1.562923e-01   2.724088e-14   0.000000e+00   4.565218e-15   72
  1.570796e-01   1.711099e-14   0.000000e+00   2.522401e-15   30
  1.578631e-01   2.255870e-14   0.000000e+00   2.191129e-15   168
  1.586427e-01   1.592393e-14   0.000000e+00   2.980167e-15   48
  1.601904e-01   1.542639e-14   0.000000e+00   2.209217e-15   72
  1.609587e-01   1.620764e-14   0.000000e+00   2.085538e-15   96
  1.617234e-01   1.942647e-14   4.238553e-09   2.309094e-15   72
  1.624844e-01   2.877275e-14   0.000000e+00   2.894543e-15   72
  1.637639e-01   1.830872e-14   3.480039e-04   1.805030e-15   104
  1.647465e-01   2.156749e-14   2.997109e-09   1.963740e-15   144
  1.669779e-01   1.359394e-14   5.026305e-09   1.386109e-15   96
  1.677152e-01   2.207589e-14   0.000000e+00   1.974305e-15   96
