# power spectrum of pi_k
# redshift z=9.907655
# k              Pk             sigma(k)       sigma(Pk)      count
  1.570796e-02   1.369137e-13   0.000000e+00   5.543115e-14   6
  2.221441e-02   6.284602e-14   0.000000e+00   1.245887e-14   12
  2.720699e-02   3.787986e-14   2.980232e-10   7.929648e-15   8
  3.141593e-02   1.069799e-13   0.000000e+00   1.153631e-14   6
  3.512407e-02   6.618323e-14   5.619580e-10   2.089933e-14   24
  3.847649e-02   8.070128e-14   5.619580e-10   1.387522e-14   24
  4.442883e-02   3.049393e-14   0.000000e+00   1.410182e-14   12
  4.712389e-02   3.271744e-14   6.357829e-10   6.046694e-15   30
  4.967294e-02   3.866220e-14   0.000000e+00   8.948203e-15   24
  5.209742e-02   3.382026e-14   9.733398e-10   8.572740e-15   24
  5.441398e-02   3.602402e-14   5.960464e-10   6.940170e-15   8
  5.663587e-02   3.097744e-14   7.947286e-10   3.850568e-15   24
  5.877382e-02   2.825144e-14   0.000000e+00   3.957639e-15   48
  6.283185e-02   3.071985e-14   0.000000e+00   1.346255e-14   6
  6.476559e-02   2.413010e-14   7.947286e-10   3.547332e-15   48
  6.664324e-02   2.275496e-14   7.492773e-10   2.143320e-15   36
  6.846942e-02   3.203465e-14   7.947286e-10   6.453477e-15   24
  7.024815e-02   1.825278e-14   1.123916e-09   3.269026e-15   24
  7.198293e-02   1.503644e-14   0.000000e+00   2.041559e-15   48
  7.367688e-02   2.333122e-14   1.123916e-09   3.296987e-15   24
  7.695299e-02   1.825001e-14   1.123916e-09   2.936391e-15   24
  7.853982e-02   1.335859e-14   0.000000e+00   1.926055e-15   30
  8.009521e-02   1.316479e-14   0.000000e+00   1.361252e-15   72
  8.162097e-02   1.239288e-14   1.192093e-09   2.430624e-15   32
  8.458997e-02   1.522148e-14   0.000000e+00   1.673926e-15   72
  8.603606e-02   8.736237e-15   0.000000e+00   1.425993e-15   48
  8.885766e-02   4.219233e-15   0.000000e+00   1.236873e-15   12
  9.023538e-02   8.160719e-15   0.000000e+00   1.156180e-15   48
  9.159238e-02   7.591484e-15   0.000000e+00   7.540494e-16   48
  9.292956e-02   9.621355e-15   1.123916e-09   1.206141e-15   48
  9.424778e-02   1.219065e-14   1.271566e-09   2.393490e-15   30
  9.554781e-02   9.361684e-15   0.000000e+00   1.429531e-15   24
  9.683039e-02   9.733417e-15   2.369423e-09   9.992917e-16   72
  9.934588e-02   6.365654e-15   0.000000e+00   1.527883e-15   24
  1.005800e-01   8.216298e-15   0.000000e+00   8.008186e-16   96
  1.017992e-01   6.356854e-15   0.000000e+00   8.379635e-16   48
  1.030040e-01   5.192647e-15   1.946680e-09   1.241583e-15   24
  1.041948e-01   3.670107e-15   1.946680e-09   7.024574e-16   24
  1.053722e-01   8.873528e-15   0.000000e+00   1.102075e-15   72
  1.065366e-01   6.313054e-15   0.000000e+00   1.012581e-15   48
  1.088280e-01   5.061062e-15   1.192093e-09   1.420406e-15   8
  1.099557e-01   1.282756e-14   1.412851e-09   3.847258e-15   54
  1.110721e-01   6.676111e-15   0.000000e+00   9.408140e-16   84
  1.121773e-01   5.949153e-15   0.000000e+00   7.389727e-16   48
  1.132717e-01   3.509041e-15   1.589457e-09   5.957154e-16   24
  1.143557e-01   4.926224e-15   2.119276e-09   5.879894e-16   72
  1.154295e-01   6.261596e-15   0.000000e+00   6.726706e-16   96
  1.175476e-01   8.260107e-15   0.000000e+00   9.163038e-16   48
  1.185925e-01   4.170222e-15   0.000000e+00   4.053525e-16   48
  1.196283e-01   4.420918e-15   0.000000e+00   8.746330e-16   24
  1.206552e-01   4.435934e-15   0.000000e+00   4.835089e-16   72
  1.226831e-01   4.220913e-15   0.000000e+00   4.449431e-16   72
  1.236846e-01   4.101351e-15   0.000000e+00   4.792175e-16   96
  1.256637e-01   5.739572e-15   0.000000e+00   2.213036e-15   6
  1.266416e-01   7.159874e-15   0.000000e+00   7.896977e-16   96
  1.276121e-01   5.605963e-15   1.589457e-09   5.514327e-16   96
  1.285752e-01   3.040958e-15   0.000000e+00   7.615417e-16   24
  1.295312e-01   5.411064e-15   1.589457e-09   6.603182e-16   48
  1.304801e-01   3.627156e-15   0.000000e+00   4.153013e-16   96
  1.314222e-01   3.845749e-15   0.000000e+00   5.025236e-16   48
  1.332865e-01   3.539413e-15   1.498555e-09   5.712909e-16   36
  1.342089e-01   3.542409e-15   2.753021e-09   4.121440e-16   48
  1.351250e-01   3.869422e-15   3.114687e-09   3.557475e-16   120
  1.360350e-01   3.114570e-15   0.000000e+00   4.017409e-16   56
  1.369388e-01   1.920807e-15   1.589457e-09   3.734398e-16   24
  1.378368e-01   2.650995e-15   0.000000e+00   2.343060e-16   96
  1.387290e-01   2.750685e-15   0.000000e+00   3.563572e-16   48
  1.404963e-01   3.430847e-15   2.247832e-09   6.077562e-16   24
  1.413717e-01   6.026491e-15   0.000000e+00   1.923602e-15   102
  1.422417e-01   7.177403e-15   1.589457e-09   9.634945e-16   48
  1.431064e-01   3.499622e-15   0.000000e+00   3.433296e-16   72
  1.439659e-01   2.742600e-15   0.000000e+00   3.004068e-16   48
  1.448203e-01   3.908199e-15   0.000000e+00   6.355607e-16   48
  1.456697e-01   3.146744e-15   3.596531e-09   2.640213e-16   120
  1.473538e-01   3.799772e-15   2.247832e-09   6.381901e-16   24
  1.481886e-01   2.314311e-15   2.119276e-09   1.906402e-16   144
  1.490188e-01   2.259633e-15   2.543132e-09   2.369852e-16   120
  1.498444e-01   1.769404e-15   2.247832e-09   1.900245e-16   48
  1.514821e-01   2.406115e-15   2.247832e-09   3.172636e-16   48
  1.522944e-01   2.113078e-15   2.247832e-09   2.170586e-16   96
  1.544390e-01   2.513116e-15   3.768959e-04   3.059275e-16   72
  1.555009e-01   1.914952e-15   1.998073e-09   1.462105e-16   108
  1.562923e-01   2.159145e-15   0.000000e+00   2.134589e-16   72
  1.570796e-01   1.139767e-15   0.000000e+00   1.934286e-16   30
  1.578631e-01   4.486411e-15   0.000000e+00   7.195990e-16   168
  1.586427e-01   3.091673e-15   0.000000e+00   3.858924e-16   48
  1.601904e-01   2.124379e-15   0.000000e+00   2.617885e-16   72
  1.609587e-01   2.377935e-15   0.000000e+00   2.686232e-16   96
  1.617234e-01   1.767267e-15   4.238553e-09   2.548333e-16   72
  1.624844e-01   1.898145e-15   0.000000e+00   1.948262e-16   72
  1.637639e-01   2.031881e-15   3.480039e-04   1.449925e-16   104
  1.647465e-01   1.687059e-15   2.997109e-09   1.193869e-16   144
  1.669779e-01   1.258423e-15   5.026305e-09   1.106991e-16   96
  1.677152e-01   1.275868e-15   0.000000e+00   1.341400e-16   96
  1.688876e-01   1.513623e-15   3.580185e-04   1.342146e-16   120
  1.699076e-01   1.474113e-15   0.000000e+00   1.281603e-16   120
  1.706322e-01   1.621996e-15   0.000000e+00   1.537987e-16   72
  1.720721e-01   1.569747e-15   0.000000e+00   2.060856e-16   48
  1.727876e-01   7.057139e-15   3.912510e-09   3.872883e-15   78
  1.737029e-01   3.939515e-15   3.205713e-04   4.611160e-16   168
  1.756204e-01   1.661121e-15   3.670694e-09   1.359924e-16   144
  1.763215e-01   2.431169e-15   2.997109e-09   2.821536e-16   144
  1.783549e-01   1.584581e-15   1.846233e-04   1.314486e-16   156
  1.790983e-01   1.246495e-15   3.893359e-09   1.967896e-16   48
  1.797859e-01   1.370623e-15   2.543132e-09   1.256243e-16   120
  1.804708e-01   8.398832e-16   0.000000e+00   8.456445e-17   48
  1.816818e-01   1.276104e-15   2.825996e-04   9.018967e-17   216
  1.831848e-01   1.113665e-15   0.000000e+00   1.399142e-16   48
  1.838570e-01   1.051307e-15   2.247832e-09   8.409521e-17   96
  1.848128e-01   1.142793e-15   3.302618e-04   9.285458e-17   168
  1.858591e-01   8.453574e-16   2.247832e-09   1.129937e-16   48
  1.865217e-01   1.177996e-15   0.000000e+00   1.172175e-16   96
  1.871820e-01   1.052076e-15   0.000000e+00   1.941418e-16   48
  1.884956e-01   1.409591e-15   2.543132e-09   1.778124e-16   30
  1.891489e-01   7.805512e-15   0.000000e+00   1.690446e-15   96
  1.899298e-01   2.228797e-15   2.595564e-04   4.351259e-16   240
